alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method,stratum
0.05,172,0,0,0,0,0.0,0.0,0.0,0,betting,5<K<=30
0.05,32,0,0,0,0,0.0,0.0,0.0,0,betting,K<=5
0.05,95,0,0,0,0,0.0,0.0,0.0,0,betting,K>30
0.1,172,0,0,0,0,0.0,0.0,0.0,0,betting,5<K<=30
0.1,32,0,0,0,0,0.0,0.0,0.0,0,betting,K<=5
0.1,95,0,0,0,0,0.0,0.0,0.0,0,betting,K>30
0.15,172,0,0,0,0,0.0,0.0,0.0,0,betting,5<K<=30
0.15,32,8,8,2,6,0.25,0.23076923076923078,0.0625,0,betting,K<=5
0.15,95,0,0,0,0,0.0,0.0,0.0,0,betting,K>30
0.2,172,0,0,0,0,0.0,0.0,0.0,0,betting,5<K<=30
0.2,32,8,8,2,6,0.25,0.23076923076923078,0.0625,0,betting,K<=5
0.2,95,0,0,0,0,0.0,0.0,0.0,0,betting,K>30
0.05,89,0,0,0,0,0.0,0.0,0.0,1,betting,K>30
0.05,171,0,0,0,0,0.0,0.0,0.0,1,betting,5<K<=30
0.05,39,0,0,0,0,0.0,0.0,0.0,1,betting,K<=5
0.1,89,0,0,0,0,0.0,0.0,0.0,1,betting,K>30
0.1,171,0,0,0,0,0.0,0.0,0.0,1,betting,5<K<=30
0.1,39,1,1,1,0,1.0,0.0,0.02564102564102564,1,betting,K<=5
0.15,89,0,0,0,0,0.0,0.0,0.0,1,betting,K>30
0.15,171,0,0,0,0,0.0,0.0,0.0,1,betting,5<K<=30
0.15,39,8,8,3,5,0.375,0.11627906976744186,0.07692307692307693,1,betting,K<=5
0.2,89,0,0,0,0,0.0,0.0,0.0,1,betting,K>30
0.2,171,0,0,0,0,0.0,0.0,0.0,1,betting,5<K<=30
0.2,39,8,8,3,5,0.375,0.11627906976744186,0.07692307692307693,1,betting,K<=5
0.05,172,0,0,0,0,0.0,0.0,0.0,2,betting,5<K<=30
0.05,92,0,0,0,0,0.0,0.0,0.0,2,betting,K>30
0.05,35,0,0,0,0,0.0,0.0,0.0,2,betting,K<=5
0.1,172,0,0,0,0,0.0,0.0,0.0,2,betting,5<K<=30
0.1,92,0,0,0,0,0.0,0.0,0.0,2,betting,K>30
0.1,35,0,0,0,0,0.0,0.0,0.0,2,betting,K<=5
0.15,172,0,0,0,0,0.0,0.0,0.0,2,betting,5<K<=30
0.15,92,0,0,0,0,0.0,0.0,0.0,2,betting,K>30
0.15,35,0,0,0,0,0.0,0.0,0.0,2,betting,K<=5
0.2,172,0,0,0,0,0.0,0.0,0.0,2,betting,5<K<=30
0.2,92,0,0,0,0,0.0,0.0,0.0,2,betting,K>30
0.2,35,9,9,1,8,0.1111111111111111,0.20512820512820512,0.02857142857142857,2,betting,K<=5
0.05,176,0,0,0,0,0.0,0.0,0.0,3,betting,5<K<=30
0.05,83,0,0,0,0,0.0,0.0,0.0,3,betting,K>30
0.05,40,0,0,0,0,0.0,0.0,0.0,3,betting,K<=5
0.1,176,0,0,0,0,0.0,0.0,0.0,3,betting,5<K<=30
0.1,83,0,0,0,0,0.0,0.0,0.0,3,betting,K>30
0.1,40,1,1,1,0,1.0,0.0,0.025,3,betting,K<=5
0.15,176,0,0,0,0,0.0,0.0,0.0,3,betting,5<K<=30
0.15,83,0,0,0,0,0.0,0.0,0.0,3,betting,K>30
0.15,40,1,1,1,0,1.0,0.0,0.025,3,betting,K<=5
0.2,176,0,0,0,0,0.0,0.0,0.0,3,betting,5<K<=30
0.2,83,0,0,0,0,0.0,0.0,0.0,3,betting,K>30
0.2,40,10,10,5,5,0.5,0.12195121951219512,0.125,3,betting,K<=5
0.05,161,0,0,0,0,0.0,0.0,0.0,4,betting,5<K<=30
0.05,38,0,0,0,0,0.0,0.0,0.0,4,betting,K<=5
0.05,100,0,0,0,0,0.0,0.0,0.0,4,betting,K>30
0.1,161,0,0,0,0,0.0,0.0,0.0,4,betting,5<K<=30
0.1,38,1,1,1,0,1.0,0.0,0.02631578947368421,4,betting,K<=5
0.1,100,0,0,0,0,0.0,0.0,0.0,4,betting,K>30
0.15,161,0,0,0,0,0.0,0.0,0.0,4,betting,5<K<=30
0.15,38,12,12,4,8,0.3333333333333333,0.25,0.10526315789473684,4,betting,K<=5
0.15,100,0,0,0,0,0.0,0.0,0.0,4,betting,K>30
0.2,161,0,0,0,0,0.0,0.0,0.0,4,betting,5<K<=30
0.2,38,12,12,4,8,0.3333333333333333,0.25,0.10526315789473684,4,betting,K<=5
0.2,100,0,0,0,0,0.0,0.0,0.0,4,betting,K>30
0.05,184,0,0,0,0,0.0,0.0,0.0,5,betting,5<K<=30
0.05,81,0,0,0,0,0.0,0.0,0.0,5,betting,K>30
0.05,34,0,0,0,0,0.0,0.0,0.0,5,betting,K<=5
0.1,184,0,0,0,0,0.0,0.0,0.0,5,betting,5<K<=30
0.1,81,0,0,0,0,0.0,0.0,0.0,5,betting,K>30
0.1,34,0,0,0,0,0.0,0.0,0.0,5,betting,K<=5
0.15,184,0,0,0,0,0.0,0.0,0.0,5,betting,5<K<=30
0.15,81,0,0,0,0,0.0,0.0,0.0,5,betting,K>30
0.15,34,4,4,1,3,0.25,0.08333333333333333,0.029411764705882353,5,betting,K<=5
0.2,184,0,0,0,0,0.0,0.0,0.0,5,betting,5<K<=30
0.2,81,0,0,0,0,0.0,0.0,0.0,5,betting,K>30
0.2,34,4,4,1,3,0.25,0.08333333333333333,0.029411764705882353,5,betting,K<=5
0.05,82,0,0,0,0,0.0,0.0,0.0,6,betting,K>30
