alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,threshold,cal_loss,cal_bound,cal_rejections,cal_fp,cal_tp,seed,method
0.05,299,0,0,0,0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0,0,scoregate_pooled_plus1
0.1,299,0,0,0,0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0,0,scoregate_pooled_plus1
0.15,299,0,0,0,0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0,0,scoregate_pooled_plus1
0.2,299,3,3,0,3,0.0,0.006880733944954129,0.0,0.918078362941742,0.0,0.16666666666666666,5,0,5,0,scoregate_pooled_plus1
0.05,299,0,0,0,0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0,1,scoregate_pooled_plus1
0.1,299,20,20,4,16,0.2,0.037296037296037296,0.013377926421404682,0.8050920963287354,0.045454545454545456,0.08695652173913043,22,1,21,1,scoregate_pooled_plus1
0.15,299,26,26,6,20,0.23076923076923078,0.046620046620046623,0.020066889632107024,0.7668333649635315,0.11538461538461539,0.14814814814814814,26,3,23,1,scoregate_pooled_plus1
0.2,299,26,26,6,20,0.23076923076923078,0.046620046620046623,0.020066889632107024,0.7668333649635315,0.11538461538461539,0.14814814814814814,26,3,23,1,scoregate_pooled_plus1
0.05,299,0,0,0,0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0,2,scoregate_pooled_plus1
0.1,299,9,9,0,9,0.0,0.024861878453038673,0.0,0.8854520320892334,0.0,0.07142857142857142,13,0,13,2,scoregate_pooled_plus1
0.15,299,21,21,2,19,0.09523809523809523,0.052486187845303865,0.006688963210702341,0.8098531365394592,0.09090909090909091,0.13043478260869565,22,2,20,2,scoregate_pooled_plus1
0.2,299,28,28,4,24,0.14285714285714285,0.06629834254143646,0.013377926421404682,0.7293956279754639,0.17647058823529413,0.2,34,6,28,2,scoregate_pooled_plus1
0.05,299,0,0,0,0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0,3,scoregate_pooled_plus1
0.1,299,11,11,2,9,0.18181818181818182,0.02830188679245283,0.006688963210702341,0.8687551617622375,0.0,0.09090909090909091,10,0,10,3,scoregate_pooled_plus1
0.15,299,16,16,4,12,0.25,0.03773584905660377,0.013377926421404682,0.8175196051597595,0.06666666666666667,0.125,15,1,14,3,scoregate_pooled_plus1
0.2,299,25,25,7,18,0.28,0.05660377358490566,0.023411371237458192,0.7793700098991394,0.15,0.19047619047619047,20,3,17,3,scoregate_pooled_plus1
0.05,299,0,0,0,0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0,4,scoregate_pooled_plus1
0.1,299,11,11,3,8,0.2727272727272727,0.019417475728155338,0.010033444816053512,0.8625737428665161,0.0,0.06666666666666667,14,0,14,4,scoregate_pooled_plus1
0.15,299,18,18,4,14,0.2222222222222222,0.03398058252427184,0.013377926421404682,0.8167799711227417,0.05555555555555555,0.10526315789473684,18,1,17,4,scoregate_pooled_plus1
0.2,299,26,26,8,18,0.3076923076923077,0.043689320388349516,0.026755852842809364,0.7523593902587891,0.14814814814814814,0.17857142857142858,27,4,23,4,scoregate_pooled_plus1
0.05,299,13,13,4,9,0.3076923076923077,0.023872679045092837,0.013377926421404682,0.8098531365394592,0.0,0.043478260869565216,22,0,22,5,scoregate_pooled_plus1
0.1,299,13,13,4,9,0.3076923076923077,0.023872679045092837,0.013377926421404682,0.8098531365394592,0.0,0.043478260869565216,22,0,22,5,scoregate_pooled_plus1
0.15,299,13,13,4,9,0.3076923076923077,0.023872679045092837,0.013377926421404682,0.8098531365394592,0.0,0.043478260869565216,22,0,22,5,scoregate_pooled_plus1
