seed,alpha,strategy,rejections,fdp,recall,mean_family_fdp,pass,config
0,0.05,pertemplate,77,0.012987012987012988,0.038559107052257735,0.000835421888053467,1,hist80_sm01_noclip
0,0.1,pertemplate,109,0.027522935779816515,0.053779807204464736,0.002506265664160401,1,hist80_sm01_noclip
0,0.15,pertemplate,121,0.049586776859504134,0.058346017250126836,0.005012531328320802,1,hist80_sm01_noclip
0,0.2,pertemplate,141,0.09929078014184398,0.06443429731100964,0.011695906432748537,1,hist80_sm01_noclip
0,0.05,global,0,0.0,0.0,0.0,1,hist80_sm01_noclip
0,0.1,global,3,0.3333333333333333,0.0010147133434804667,0.000835421888053467,0,hist80_sm01_noclip
0,0.15,global,43,0.2558139534883721,0.016235413495687467,0.009189640768588136,0,hist80_sm01_noclip
0,0.2,global,43,0.2558139534883721,0.016235413495687467,0.009189640768588136,0,hist80_sm01_noclip
1,0.05,pertemplate,61,0.04918032786885246,0.0408738548273432,0.002506265664160401,1,hist80_sm01_noclip
1,0.1,pertemplate,80,0.075,0.05214940098661029,0.005012531328320802,1,hist80_sm01_noclip
1,0.15,pertemplate,97,0.10309278350515463,0.0613107822410148,0.00835421888053467,1,hist80_sm01_noclip
1,0.2,pertemplate,110,0.16363636363636364,0.06483439041578576,0.015037593984962405,1,hist80_sm01_noclip
1,0.05,global,0,0.0,0.0,0.0,1,hist80_sm01_noclip
1,0.1,global,1,1.0,0.0,0.000835421888053467,0,hist80_sm01_noclip
1,0.15,global,28,0.35714285714285715,0.012684989429175475,0.00835421888053467,0,hist80_sm01_noclip
1,0.2,global,59,0.3389830508474576,0.02748414376321353,0.01670843776106934,0,hist80_sm01_noclip
2,0.05,pertemplate,69,0.0,0.03520408163265306,0.0,1,hist80_sm01_noclip
2,0.1,pertemplate,96,0.010416666666666666,0.04846938775510204,0.000835421888053467,1,hist80_sm01_noclip
2,0.15,pertemplate,113,0.017699115044247787,0.05663265306122449,0.001670843776106934,1,hist80_sm01_noclip
2,0.2,pertemplate,125,0.064,0.05969387755102041,0.006683375104427736,1,hist80_sm01_noclip
2,0.05,global,0,0.0,0.0,0.0,1,hist80_sm01_noclip
2,0.1,global,3,0.0,0.001530612244897959,0.0,1,hist80_sm01_noclip
2,0.15,global,32,0.1875,0.013265306122448979,0.005012531328320802,0,hist80_sm01_noclip
2,0.2,global,32,0.1875,0.013265306122448979,0.005012531328320802,1,hist80_sm01_noclip
3,0.05,pertemplate,72,0.041666666666666664,0.045068582625734814,0.002506265664160401,1,hist80_sm01_noclip
3,0.1,pertemplate,98,0.05102040816326531,0.06074461136512083,0.004177109440267335,1,hist80_sm01_noclip
3,0.15,pertemplate,117,0.07692307692307693,0.0705421293272371,0.007518796992481203,1,hist80_sm01_noclip
