alpha,total_rejections,fp,tp,fdp,recall,threshold,seed,method
0.05,187,9,178,0.0481283422459893,0.24895104895104894,0.614367663860321,0,score_oracle
0.1,235,23,212,0.09787234042553192,0.2965034965034965,0.5236315727233887,0,score_oracle
0.15,295,44,251,0.14915254237288136,0.35104895104895106,0.4576784074306488,0,score_oracle
0.2,356,71,285,0.199438202247191,0.3986013986013986,0.4082042574882507,0,score_oracle
0.05,208,10,198,0.04807692307692308,0.3,0.6005625128746033,1,score_oracle
0.1,300,30,270,0.1,0.4090909090909091,0.4639953374862671,1,score_oracle
0.15,356,53,303,0.14887640449438203,0.4590909090909091,0.4077119529247284,1,score_oracle
0.2,415,83,332,0.2,0.503030303030303,0.359490156173706,1,score_oracle
0.05,85,4,81,0.047058823529411764,0.12053571428571429,0.7807439565658569,2,score_oracle
0.1,205,20,185,0.0975609756097561,0.27529761904761907,0.5655730366706848,2,score_oracle
0.15,258,38,220,0.14728682170542637,0.3273809523809524,0.4809581339359283,2,score_oracle
0.2,317,63,254,0.19873817034700317,0.37797619047619047,0.4280305206775665,2,score_oracle
0.05,189,9,180,0.047619047619047616,0.2955665024630542,0.6040563583374023,3,score_oracle
0.1,236,23,213,0.09745762711864407,0.3497536945812808,0.5020332336425781,3,score_oracle
0.15,274,41,233,0.14963503649635038,0.3825944170771757,0.4545705318450928,3,score_oracle
0.2,341,68,273,0.19941348973607037,0.4482758620689655,0.3857505917549133,3,score_oracle
0.05,184,9,175,0.04891304347826087,0.2704791344667697,0.5498071908950806,4,score_oracle
0.1,228,22,206,0.09649122807017543,0.31839258114374036,0.504721462726593,4,score_oracle
0.15,255,38,217,0.14901960784313725,0.33539412673879443,0.4825710654258728,4,score_oracle
0.2,297,59,238,0.19865319865319866,0.3678516228748068,0.4523442685604095,4,score_oracle
