alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method,stratum
0.05,245,42,76,0,76,0.0,0.2508250825082508,0.0,0,betting,5<K<=30
0.05,272,74,88,11,77,0.125,0.6581196581196581,0.03860294117647059,0,betting,K<=5
0.05,42,0,0,0,0,0.0,0.0,0.0,0,betting,K>30
0.1,245,54,97,1,96,0.010309278350515464,0.31683168316831684,0.0008163265306122449,0,betting,5<K<=30
0.1,272,82,97,15,82,0.15463917525773196,0.7008547008547008,0.05330882352941176,0,betting,K<=5
0.1,42,3,9,1,8,0.1111111111111111,0.07079646017699115,0.005952380952380952,0,betting,K>30
0.15,245,58,106,3,103,0.02830188679245283,0.33993399339933994,0.004897959183673469,0,betting,5<K<=30
0.15,272,90,106,19,87,0.1792452830188679,0.7435897435897436,0.06801470588235294,0,betting,K<=5
0.15,42,7,22,5,17,0.22727272727272727,0.1504424778761062,0.013227513227513229,0,betting,K>30
0.2,245,64,115,5,110,0.043478260869565216,0.36303630363036304,0.008299319727891157,0,betting,5<K<=30
0.2,272,90,106,19,87,0.1792452830188679,0.7435897435897436,0.06801470588235294,0,betting,K<=5
0.2,42,9,26,6,20,0.23076923076923078,0.17699115044247787,0.025132275132275134,0,betting,K>30
0.05,276,86,99,4,95,0.04040404040404041,0.7364341085271318,0.014492753623188406,1,betting,K<=5
0.05,251,17,27,1,26,0.037037037037037035,0.08934707903780069,0.00398406374501992,1,betting,5<K<=30
0.05,32,1,4,0,4,0.0,0.03225806451612903,0.0,1,betting,K>30
0.1,276,91,105,7,98,0.06666666666666667,0.7596899224806202,0.025362318840579712,1,betting,K<=5
0.1,251,32,61,2,59,0.03278688524590164,0.2027491408934708,0.0049800796812749,1,betting,5<K<=30
0.1,32,3,14,0,14,0.0,0.11290322580645161,0.0,1,betting,K>30
0.15,276,94,108,10,98,0.09259259259259259,0.7596899224806202,0.036231884057971016,1,betting,K<=5
0.15,251,38,72,3,69,0.041666666666666664,0.23711340206185566,0.00597609561752988,1,betting,5<K<=30
0.15,32,4,22,1,21,0.045454545454545456,0.1693548387096774,0.002232142857142857,1,betting,K>30
0.2,276,95,109,11,98,0.10091743119266056,0.7596899224806202,0.03985507246376811,1,betting,K<=5
0.2,251,45,88,7,81,0.07954545454545454,0.27835051546391754,0.01195219123505976,1,betting,5<K<=30
0.2,32,4,22,1,21,0.045454545454545456,0.1693548387096774,0.002232142857142857,1,betting,K>30
0.05,260,80,86,4,82,0.046511627906976744,0.7008547008547008,0.015384615384615385,2,betting,K<=5
0.05,42,1,2,0,2,0.0,0.015873015873015872,0.0,2,betting,K>30
0.05,257,34,64,1,63,0.015625,0.19504643962848298,0.0012970168612191958,2,betting,5<K<=30
0.1,260,83,90,7,83,0.07777777777777778,0.7094017094017094,0.026923076923076925,2,betting,K<=5
0.1,42,3,7,0,7,0.0,0.05555555555555555,0.0,2,betting,K>30
0.1,257,56,114,4,110,0.03508771929824561,0.34055727554179566,0.007133592736705577,2,betting,5<K<=30
0.15,260,83,91,7,84,0.07692307692307693,0.717948717948718,0.026923076923076925,2,betting,K<=5
0.15,42,4,10,0,10,0.0,0.07936507936507936,0.0,2,betting,K>30
0.15,257,65,127,4,123,0.031496062992125984,0.38080495356037153,0.007133592736705577,2,betting,5<K<=30
0.2,260,84,93,7,86,0.07526881720430108,0.7350427350427351,0.026923076923076925,2,betting,K<=5
0.2,42,5,14,1,13,0.07142857142857142,0.10317460317460317,0.005952380952380952,2,betting,K>30
0.2,257,71,137,5,132,0.0364963503649635,0.4086687306501548,0.007911802853437094,2,betting,5<K<=30
0.05,288,91,105,4,101,0.0380952380952381,0.6474358974358975,0.013888888888888888,3,betting,K<=5
0.05,233,31,56,0,56,0.0,0.1978798586572438,0.0,3,betting,5<K<=30
0.05,38,1,4,0,4,0.0,0.028985507246376812,0.0,3,betting,K>30
0.1,288,97,111,8,103,0.07207207207207207,0.6602564102564102,0.027777777777777776,3,betting,K<=5
0.1,233,44,96,7,89,0.07291666666666667,0.31448763250883394,0.014425369575584168,3,betting,5<K<=30
0.1,38,3,11,0,11,0.0,0.07971014492753623,0.0,3,betting,K>30
0.15,288,101,116,8,108,0.06896551724137931,0.6923076923076923,0.027777777777777776,3,betting,K<=5
0.15,233,48,109,13,96,0.11926605504587157,0.3392226148409894,0.021936099189318072,3,betting,5<K<=30
0.15,38,4,18,0,18,0.0,0.13043478260869565,0.0,3,betting,K>30
0.2,288,103,118,10,108,0.0847457627118644,0.6923076923076923,0.034722222222222224,3,betting,K<=5
0.2,233,53,120,15,105,0.125,0.3710247349823322,0.024940391034811635,3,betting,5<K<=30
0.2,38,4,19,0,19,0.0,0.13768115942028986,0.0,3,betting,K>30
0.05,289,79,91,5,86,0.054945054945054944,0.688,0.015570934256055362,4,betting,K<=5
0.05,46,1,1,0,1,0.0,0.006172839506172839,0.0,4,betting,K>30
0.05,224,20,33,0,33,0.0,0.12890625,0.0,4,betting,5<K<=30
0.1,289,81,94,6,88,0.06382978723404255,0.704,0.01903114186851211,4,betting,K<=5
0.1,46,3,17,0,17,0.0,0.10493827160493827,0.0,4,betting,K>30
0.1,224,35,64,1,63,0.015625,0.24609375,0.004464285714285714,4,betting,5<K<=30
0.15,289,86,99,9,90,0.09090909090909091,0.72,0.029411764705882353,4,betting,K<=5
