seed,alpha,strategy,rejections,fdp,recall,mean_family_fdp,pass,config
13,0.05,pertemplate,19,0.05263157894736842,0.04,0.0033444816053511705,0,isotonic_noclip
13,0.1,pertemplate,23,0.08695652173913043,0.04666666666666667,0.006688963210702341,1,isotonic_noclip
13,0.15,pertemplate,27,0.07407407407407407,0.05555555555555555,0.006688963210702341,1,isotonic_noclip
13,0.2,pertemplate,33,0.15151515151515152,0.06222222222222222,0.016722408026755852,1,isotonic_noclip
13,0.05,global,0,0.0,0.0,0.0,1,isotonic_noclip
13,0.1,global,0,0.0,0.0,0.0,1,isotonic_noclip
13,0.15,global,6,0.5,0.006666666666666667,0.010033444816053512,0,isotonic_noclip
13,0.2,global,6,0.5,0.006666666666666667,0.010033444816053512,0,isotonic_noclip
14,0.05,pertemplate,10,0.0,0.03003003003003003,0.0,1,isotonic_noclip
14,0.1,pertemplate,22,0.0,0.06606606606606606,0.0,1,isotonic_noclip
14,0.15,pertemplate,27,0.037037037037037035,0.07807807807807808,0.0033444816053511705,1,isotonic_noclip
14,0.2,pertemplate,31,0.06451612903225806,0.08708708708708708,0.006688963210702341,1,isotonic_noclip
14,0.05,global,0,0.0,0.0,0.0,1,isotonic_noclip
14,0.1,global,0,0.0,0.0,0.0,1,isotonic_noclip
14,0.15,global,0,0.0,0.0,0.0,1,isotonic_noclip
14,0.2,global,5,0.2,0.012012012012012012,0.0033444816053511705,1,isotonic_noclip
15,0.05,pertemplate,16,0.0625,0.033936651583710405,0.0033444816053511705,0,isotonic_noclip
15,0.1,pertemplate,24,0.041666666666666664,0.05203619909502263,0.0033444816053511705,1,isotonic_noclip
15,0.15,pertemplate,28,0.07142857142857142,0.058823529411764705,0.006688963210702341,1,isotonic_noclip
15,0.2,pertemplate,34,0.11764705882352941,0.06787330316742081,0.013377926421404682,1,isotonic_noclip
15,0.05,global,0,0.0,0.0,0.0,1,isotonic_noclip
15,0.1,global,1,1.0,0.0,0.0033444816053511705,0,isotonic_noclip
15,0.15,global,1,1.0,0.0,0.0033444816053511705,0,isotonic_noclip
15,0.2,global,11,0.36363636363636365,0.01583710407239819,0.013377926421404682,0,isotonic_noclip
16,0.05,pertemplate,22,0.13636363636363635,0.04185022026431718,0.010033444816053512,0,isotonic_noclip
16,0.1,pertemplate,25,0.12,0.048458149779735685,0.010033444816053512,0,isotonic_noclip
16,0.15,pertemplate,26,0.11538461538461539,0.05066079295154185,0.010033444816053512,1,isotonic_noclip
16,0.2,pertemplate,27,0.1111111111111111,0.05286343612334802,0.010033444816053512,1,isotonic_noclip
16,0.05,global,0,0.0,0.0,0.0,1,isotonic_noclip
16,0.1,global,0,0.0,0.0,0.0,1,isotonic_noclip
16,0.15,global,12,0.25,0.019823788546255508,0.010033444816053512,0,isotonic_noclip
16,0.2,global,12,0.25,0.019823788546255508,0.010033444816053512,0,isotonic_noclip
17,0.05,pertemplate,7,0.0,0.017857142857142856,0.0,1,isotonic_noclip
17,0.1,pertemplate,9,0.0,0.02295918367346939,0.0,1,isotonic_noclip
17,0.15,pertemplate,12,0.08333333333333333,0.02806122448979592,0.0033444816053511705,1,isotonic_noclip
17,0.2,pertemplate,14,0.07142857142857142,0.03316326530612245,0.0033444816053511705,1,isotonic_noclip
17,0.05,global,0,0.0,0.0,0.0,1,isotonic_noclip
17,0.1,global,1,1.0,0.0,0.0033444816053511705,0,isotonic_noclip
17,0.15,global,1,1.0,0.0,0.0033444816053511705,0,isotonic_noclip
17,0.2,global,7,0.5714285714285714,0.007653061224489796,0.013377926421404682,0,isotonic_noclip
18,0.05,pertemplate,22,0.09090909090909091,0.05319148936170213,0.006688963210702341,0,isotonic_noclip
18,0.1,pertemplate,24,0.08333333333333333,0.05851063829787234,0.006688963210702341,1,isotonic_noclip
18,0.15,pertemplate,31,0.12903225806451613,0.07180851063829788,0.013377926421404682,1,isotonic_noclip
18,0.2,pertemplate,32,0.15625,0.07180851063829788,0.016722408026755852,1,isotonic_noclip
18,0.05,global,0,0.0,0.0,0.0,1,isotonic_noclip
18,0.1,global,1,0.0,0.0026595744680851063,0.0,1,isotonic_noclip
18,0.15,global,6,0.3333333333333333,0.010638297872340425,0.006688963210702341,0,isotonic_noclip
18,0.2,global,6,0.3333333333333333,0.010638297872340425,0.006688963210702341,0,isotonic_noclip
19,0.05,pertemplate,29,0.10344827586206896,0.04878048780487805,0.010033444816053512,0,isotonic_noclip
19,0.1,pertemplate,32,0.09375,0.054409005628517824,0.010033444816053512,1,isotonic_noclip
19,0.15,pertemplate,35,0.08571428571428572,0.0600375234521576,0.010033444816053512,1,isotonic_noclip
19,0.2,pertemplate,36,0.08333333333333333,0.06191369606003752,0.010033444816053512,1,isotonic_noclip
19,0.05,global,0,0.0,0.0,0.0,1,isotonic_noclip
19,0.1,global,0,0.0,0.0,0.0,1,isotonic_noclip
19,0.15,global,0,0.0,0.0,0.0,1,isotonic_noclip
19,0.2,global,6,0.0,0.01125703564727955,0.0,1,isotonic_noclip
